qid,name,category,country,iso,lat,lon,year,century,wikipedia,image,sitelinks,pageviews,fame_rank
Q45677,Château de Choisy,castle,France,FR,48.76295,2.40883,1678,17th century,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Choisy,https://commons.wikimedia.org/wiki/Special:FilePath/Choisy%2C%20ch%C3%A2teau%20-%20%C3%A9tat%20XVIIe%20si%C3%A8cle.jpg?width=1280,13,3320,1584
Q752721,Carew Castle,castle,Wales,GB-WLS,51.69844,-4.83066,1270,13th century,https://en.wikipedia.org/wiki/Carew_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Carew%20Castle%20Summer%202018.jpg?width=1280,13,16294,992
Q1639481,Appleby Castle,castle,England,GB-ENG,54.5742,-2.48878,1120,12th century,https://en.wikipedia.org/wiki/Appleby_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Appleby%20Castle%2C%20bailey%20-%20geograph.org.uk%20-%204958736.jpg?width=1280,13,13176,1071
Q1051919,Cawdor Castle,castle,Scotland,GB-SCT,57.52426,-3.92661,1454,15th century,https://en.wikipedia.org/wiki/Cawdor_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Ecosse2009127.JPG?width=1280,13,27094,862
Q1428846,Flint Castle,castle,Wales,GB-WLS,53.2517,-3.12993,1277,13th century,https://en.wikipedia.org/wiki/Flint_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/YFflintLB04.JPG?width=1280,13,10472,1129
Q1741258,Kilchurn Castle,ruin,Scotland,GB-SCT,56.4037,-5.0274,1450,15th century,https://en.wikipedia.org/wiki/Kilchurn_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Kilchurn%20Castle%20%282%29%20-%20geograph.org.uk%20-%20967084.jpg?width=1280,13,27071,864
Q1329976,Citadel of Besançon,castle,France,FR,47.23139,6.0325,1668,17th century,https://en.wikipedia.org/wiki/Citadel_of_Besan%C3%A7on,https://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20image%20of%20the%20Citadel%20of%20Besan%C3%A7on%20%28view%20from%20the%20southwest%29.jpg?width=1280,13,7340,1268
Q1508342,Manorbier Castle,castle,Wales,GB-WLS,51.64549,-4.79989,1200,12th century,https://en.wikipedia.org/wiki/Manorbier_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Manorbier%20Castle2.jpg?width=1280,13,8104,1244
Q2106892,Powderham Castle,castle,England,GB-ENG,50.64297,-3.45997,,,https://en.wikipedia.org/wiki/Powderham_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Powderham%20Castle%2C%202009.jpg?width=1280,13,58512,724
Q2968590,Bolsover Castle,castle,England,GB-ENG,53.2307,-1.29611,,,https://en.wikipedia.org/wiki/Bolsover_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Bolsover%20Castle%20-%20geograph.org.uk%20-%20205752.jpg?width=1280,13,25739,871
Q1923521,Drum Castle,castle,Scotland,GB-SCT,57.095,-2.338,,,https://en.wikipedia.org/wiki/Drum_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Drum%20Castle.jpg?width=1280,13,13776,1046
Q1936320,Llansteffan Castle,castle,Wales,GB-WLS,51.7655,-4.3908,1192,12th century,https://en.wikipedia.org/wiki/Llansteffan_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Llansteffan%20Castle%20Llansteffan.jpg?width=1280,13,3772,1536
Q1949590,Pontefract Castle,castle,England,GB-ENG,53.6955,-1.30394,1070,11th century,https://en.wikipedia.org/wiki/Pontefract_Castle,https://commons.wikimedia.org/wiki/Special:FilePath/Pontefract%20Castle.jpg?width=1280,13,56484,732
